chart_date,chart_type,rank,title,artist,url
2000-01-29,rock,3,Everything You Want,Vertical Horizon,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,4,Everlasting Gaze,The Smashing Pumpkins,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,5,Voodoo,Godsmack,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,6,Only God Knows Why,Kid Rock,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,7,What If,Creed,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,8,Pardon Me,Incubus,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,9,Crushed,Limp Bizkit,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,10,No Leaf Clover,Metallica,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,11,Miserable,Lit,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,12,Nobody's Real,Powerman 5000,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,13,Falling Away From Me,KoRn,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,14,Into The Void,Nine Inch Nails,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,15,Stop The Rock,Apollo Four Forty,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,16,Kryptonite,3 Doors Down,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,17,All The Small Things,Blink 182,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,18,Maybe Someday,The Cure,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,19,Natural Blues,Moby,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,20,Wait And Bleed,Slipknot,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,21,Letting The Cables Sleep,Bush,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,22,Brand New Day,Sting,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,23,Take A Picture,Filter,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,24,Little Black Backpack,Stroke 9,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,25,Run To The Water,Live,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,26,Go Let It Out,Oasis,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,27,It Feels So Good,Sonique,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,28,Weapon And The Wound,Days Of The New,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,29,Heaven And Hot Rods,Stone Temple Pilots,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,30,She's Got Issues,The Offspring,https://tunecaster.com/charts/00/rock0005.html
2000-02-05,rock,1,Never Let You Go,Third Eye Blind,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,2,Otherside,Red Hot Chili Peppers,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,3,Voodoo,Godsmack,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,4,Everything You Want,Vertical Horizon,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,5,Only God Knows Why,Kid Rock,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,6,Pardon Me,Incubus,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,7,What If,Creed,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,8,Miserable,Lit,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,9,Crushed,Limp Bizkit,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,10,Everlasting Gaze,The Smashing Pumpkins,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,11,All The Small Things,Blink 182,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,12,No Leaf Clover,Metallica,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,13,Kryptonite,3 Doors Down,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,14,Nobody's Real,Powerman 5000,https://tunecaster.com/charts/00/rock0006.html
